mode,year,dow,trips,dow_name,week_part,run_tag,year_trips,pct_of_mode_year_trips
jc,2019,0,59485,Monday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,14.69146321885921
jc,2019,1,64849,Tuesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,16.01625112683535
jc,2019,2,64313,Wednesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,15.88387112708233
jc,2019,3,60689,Thursday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,14.988824263080552
jc,2019,4,63596,Friday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,15.706788179651515
jc,2019,5,49782,Saturday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,12.295039454673434
jc,2019,6,42181,Sunday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,10.417762629817608
jc,2020,0,41413,Monday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,12.811485882400255
jc,2020,1,44713,Tuesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,13.832370711123623
jc,2020,2,45229,Wednesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,13.991999975251277
jc,2020,3,43774,Thursday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,13.541882573495972
jc,2020,4,43950,Friday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,13.59632976436122
jc,2020,5,54285,Saturday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,16.793555432499403
jc,2020,6,49885,Sunday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,15.432375660868248
jc,2023,0,133238,Monday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,13.546972830408144
jc,2023,1,145219,Tuesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,14.765140931708972
jc,2023,2,151916,Wednesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,15.446058365513467
jc,2023,3,150571,Thursday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,15.309305498787019
jc,2023,4,145959,Friday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,14.840380427156985
jc,2023,5,132008,Saturday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,13.421912587974289
jc,2023,6,124615,Sunday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,12.670229358451124
jc,2025,0,134037,Monday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,994941,13.471854109942196
jc,2025,1,147700,Tuesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,994941,14.8451013678198
jc,2025,2,147380,Wednesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,994941,14.812938656664063
jc,2025,3,150079,Thursday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,994941,15.084211023568232
jc,2025,4,156534,Friday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,994941,15.73299321266286
jc,2025,5,140097,Saturday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,994941,14.080935452453966
jc,2025,6,119114,Sunday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,994941,11.97196617688888
nyc,2019,0,2922106,Monday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,20551697,14.21831978157327
nyc,2019,1,3157951,Tuesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,20551697,15.365889249924228
nyc,2019,2,3146705,Wednesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,20551697,15.311168707868747
nyc,2019,3,3001240,Thursday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,20551697,14.603368276595358
nyc,2019,4,3117824,Friday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,20551697,15.170640166600355
nyc,2019,5,2815274,Saturday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,20551697,13.698498960937386
nyc,2019,6,2390597,Sunday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,20551697,11.632114856500658
nyc,2020,0,2553803,Monday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,19554112,13.060183965398172
nyc,2020,1,2805470,Tuesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,19554112,14.347212494231393
nyc,2020,2,2834665,Wednesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,19554112,14.496516129190628
nyc,2020,3,2703602,Thursday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,19554112,13.826258129236448
nyc,2020,4,2686101,Friday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,19554112,13.736757772482841
nyc,2020,5,3097093,Saturday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,19554112,15.83857656128798
nyc,2020,6,2873378,Sunday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,19554112,14.694494948172537
nyc,2023,0,4730831,Monday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,35097909,13.478953974152704
nyc,2023,1,5283220,Tuesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,35097909,15.052805567419986
nyc,2023,2,5537911,Wednesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,35097909,15.778464181441693
nyc,2023,3,5437743,Thursday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,35097909,15.493068262271692
nyc,2023,4,5139218,Friday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,35097909,14.642519017301003
nyc,2023,5,4652966,Saturday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,35097909,13.257103151073757
nyc,2023,6,4316020,Sunday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,35097909,12.297085846339165
nyc,2025,0,6110677,Monday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,45761685,13.35326048418016
nyc,2025,1,6865245,Tuesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,45761685,15.002168298654212
nyc,2025,2,6815470,Wednesday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,45761685,14.89339826538293
nyc,2025,3,6803161,Thursday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,45761685,14.866500217376174
nyc,2025,4,6999880,Friday,weekday,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,45761685,15.296377307784887
nyc,2025,5,6550572,Saturday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,45761685,14.314534091128856
nyc,2025,6,5616680,Sunday,weekend,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modenyc,45761685,12.273761335492782
