mode,month,trips,pct_of_mode_all_trips
jc,1,151842,5.610041487306451
jc,2,137545,5.081816337848328
jc,3,177054,6.541538477453908
jc,4,203754,7.5280119677338195
jc,5,249276,9.209893848802063
jc,6,269199,9.94598041609969
jc,7,295318,10.91098794765853
jc,8,311074,11.493118146641686
jc,9,298398,11.024783391481082
jc,10,272441,10.065761204694727
jc,11,203295,7.511053490878446
jc,12,137415,5.077013283401272
nyc,1,6129603,5.067236456030325
nyc,2,5819839,4.811159931406173
nyc,3,7685516,6.353482739192792
nyc,4,8923814,7.377162212240139
nyc,5,11193467,9.253444970542528
nyc,6,12221555,10.103347483577597
nyc,7,12937072,10.694852973787885
nyc,8,13762887,11.37753990700961
nyc,9,13695510,11.321840510050631
nyc,10,12801448,10.58273496596378
nyc,11,9451964,7.813774654229028
nyc,12,6342728,5.243423195969512
