mode,year,month,trips,days_in_month,trips_per_day,run_tag,year_trips,pct_of_mode_year_trips
jc,2019,1,19676,31,634.7096774193549,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,4.859531483471023
jc,2019,2,18564,28,663.0,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,4.584892379505797
jc,2019,3,23604,31,761.4193548387096,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,5.829659541362576
jc,2019,4,33050,30,1101.6666666666667,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,8.162610059398116
jc,2019,5,36123,31,1165.258064516129,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,8.92157225947468
jc,2019,6,39422,30,1314.0666666666666,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,9.736351399745613
jc,2019,7,43741,31,1411.0,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,10.803047703725657
jc,2019,8,48706,31,1571.1612903225807,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,12.02929154472147
jc,2019,9,49240,30,1641.3333333333333,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,12.161177589251535
jc,2019,10,42247,31,1362.8064516129032,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,10.434063152175256
jc,2019,11,30794,30,1026.4666666666667,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,7.60542856790032
jc,2019,12,19728,31,636.3870967741935,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,4.8723743192679585
jc,2020,1,26020,31,839.3548387096774,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,8.049522194964254
jc,2020,2,22961,29,791.7586206896551,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,7.103192894641593
jc,2020,3,17716,31,571.483870967742,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,5.480604735049451
jc,2020,4,9267,30,308.9,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,2.8668302144786217
jc,2020,5,25064,31,808.516129032258,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,7.753774953673484
jc,2020,6,36906,30,1230.2,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,11.41720469359534
jc,2020,7,38656,31,1246.967741935484,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,11.958583011857732
jc,2020,8,43252,31,1395.225806451613,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,13.380397155134277
jc,2020,9,40368,30,1345.6,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,12.488205686637855
jc,2020,10,30078,31,970.258064516129,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,9.30490117525499
jc,2020,11,21269,30,708.9666666666667,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,6.57975740064161
jc,2020,12,11692,31,377.1612903225807,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,323249,3.617025884070794
jc,2023,1,55811,31,1800.354838709677,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,5.674583081687723
jc,2023,2,51001,28,1821.4642857142856,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,5.185526361275655
jc,2023,3,62802,31,2025.8709677419356,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,6.385392963683725
jc,2023,4,80379,30,2679.3,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,8.172534330561673
jc,2023,5,95486,31,3080.1935483870966,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,9.708538462633424
jc,2023,6,96434,30,3214.4666666666667,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,9.804926356801955
jc,2023,7,105977,31,3418.6129032258063,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,10.775210823099746
jc,2023,8,111469,31,3595.7741935483878,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,983526,11.333609889316602
