mode,year,month,start_station_id,start_station_name,start_trips,end_trips,station_lat,station_lng,touchpoints,trips
jc,2019,1,3183,Exchange Place,817,986,40.7162469,-74.0334588,1803,1803
jc,2019,1,3184,Paulus Hook,367,403,40.7141454,-74.0335519,770,770
jc,2019,1,3185,City Hall,503,567,40.7177325,-74.043845,1070,1070
jc,2019,1,3186,Grove St PATH,2661,2986,40.71958611647166,-74.04311746358871,5647,5647
jc,2019,1,3187,Warren St,411,398,40.72112359999999,-74.03805095,809,809
jc,2019,1,3192,Liberty Light Rail,288,307,40.7112423,-74.0557013,595,595
jc,2019,1,3194,McGinley Square,320,267,40.7253399253558,-74.06762212514877,587,587
jc,2019,1,3195,Sip Ave,1111,1065,40.73074262530658,-74.06378388404846,2176,2176
jc,2019,1,3196,Riverview Park,75,70,40.7443187,-74.0439909,145,145
jc,2019,1,3198,Heights Elevator,116,88,40.748715945380226,-74.04044330120087,204,204
jc,2019,1,3199,Newport Pkwy,445,457,40.7287448,-74.0321082,902,902
jc,2019,1,3201,Dey St,47,129,40.737711,-74.066921,176,176
jc,2019,1,3202,Newport PATH,816,798,40.7272235,-74.0337589,1614,1614
jc,2019,1,3203,Hamilton Park,994,1062,40.727595966,-74.044247311,2056,2056
jc,2019,1,3205,JC Medical Center,289,285,40.71653978099194,-74.0496379137039,574,574
jc,2019,1,3206,Hilltop,149,96,40.7311689,-74.0575736,245,245
jc,2019,1,3207,Oakland Ave,318,173,40.7376037,-74.0524783,491,491
jc,2019,1,3209,Brunswick St,461,400,40.72417649999999,-74.0506564,861,861
jc,2019,1,3210,Pershing Field,316,301,40.742677141,-74.051788633,617,617
jc,2019,1,3211,Newark Ave,557,592,40.72152515,-74.046304543,1149,1149
jc,2019,1,3212,Christ Hospital,135,105,40.734785818,-74.050443636,240,240
jc,2019,1,3213,Van Vorst Park,407,379,40.71848892,-74.047726625,786,786
jc,2019,1,3214,Essex Light Rail,331,327,40.7127742,-74.0364857,658,658
jc,2019,1,3220,5 Corners Library,105,71,40.73496102000952,-74.0595030784607,176,176
jc,2019,1,3225,Baldwin at Montgomery,216,200,40.7236589,-74.0641943,416,416
jc,2019,1,3267,Morris Canal,400,388,40.7124188237569,-74.03852552175522,788,788
jc,2019,1,3268,Lafayette Park,105,102,40.71346382669195,-74.06285852193832,207,207
jc,2019,1,3269,Brunswick & 6th,486,468,40.72601172964625,-74.05038893222809,954,954
jc,2019,1,3270,Jersey & 6th St,437,378,40.72528910781132,-74.04557168483734,815,815
jc,2019,1,3272,Jersey & 3rd,543,486,40.72333158646436,-74.04595255851744,1029,1029
jc,2019,1,3273,Manila & 1st,394,455,40.72165072487999,-74.04288411140442,849,849
jc,2019,1,3275,Columbus Drive,441,448,40.718355198232146,-74.03891444206238,889,889
jc,2019,1,3276,Marin Light Rail,521,523,40.71458403535893,-74.04281705617905,1044,1044
jc,2019,1,3277,Communipaw & Berry Lane,66,64,40.71435836870427,-74.06661093235016,130,130
jc,2019,1,3278,Monmouth and 6th,439,415,40.72568548362901,-74.04879033565521,854,854
jc,2019,1,3279,Dixon Mills,379,340,40.721630142638354,-74.04996782541275,719,719
jc,2019,1,3280,Astor Place,238,247,40.71928220070702,-74.07126188278198,485,485
jc,2019,1,3281,Leonard Gordon Park,135,110,40.74590996631558,-74.0572714805603,245,245
jc,2019,1,3426,JCBS Depot,6,9,40.70965083364061,-74.06860113143921,15,15
jc,2019,1,3481,York St,179,172,40.71649,-74.04105,351,351
jc,2019,1,3483,Montgomery St,230,219,40.71942,-74.05099,449,449
jc,2019,1,3638,Washington St,325,344,40.7242941,-74.0354826,669,669
jc,2019,1,3639,Harborside,735,743,40.7192517,-74.034234,1478,1478
jc,2019,1,3640,Journal Square,437,422,40.73367,-74.0625,859,859
jc,2019,1,3677,Glenwood Ave,110,61,40.72755146730012,-74.07106071710587,171,171
jc,2019,1,3678,Fairmount Ave,186,139,40.72572613742557,-74.07195925712585,325,325
jc,2019,1,3679,Bergen Ave,150,121,40.722103786686034,-74.07145500183105,271,271
jc,2019,1,3681,Grand St,284,293,40.71517767732029,-74.03768330812454,577,577
jc,2019,2,3183,Exchange Place,757,904,40.7162469,-74.0334588,1661,1661
jc,2019,2,3184,Paulus Hook,405,439,40.7141454,-74.0335519,844,844
jc,2019,2,3185,City Hall,497,525,40.7177325,-74.043845,1022,1022
jc,2019,2,3186,Grove St PATH,2447,2774,40.71958611647166,-74.04311746358871,5221,5221
jc,2019,2,3187,Warren St,360,356,40.7211236,-74.03805095,716,716
jc,2019,2,3192,Liberty Light Rail,282,326,40.7112423,-74.0557013,608,608
jc,2019,2,3194,McGinley Square,299,244,40.7253399253558,-74.06762212514877,543,543
jc,2019,2,3195,Sip Ave,1082,1020,40.73074262530658,-74.06378388404846,2102,2102
jc,2019,2,3196,Riverview Park,68,54,40.7443187,-74.0439909,122,122
jc,2019,2,3198,Heights Elevator,102,91,40.74871594538023,-74.04044330120087,193,193
jc,2019,2,3199,Newport Pkwy,368,426,40.7287448,-74.0321082,794,794
jc,2019,2,3201,Dey St,52,99,40.737711,-74.066921,151,151
jc,2019,2,3202,Newport PATH,760,737,40.7272235,-74.0337589,1497,1497
jc,2019,2,3203,Hamilton Park,957,984,40.727595966,-74.044247311,1941,1941
jc,2019,2,3205,JC Medical Center,259,263,40.71653978099194,-74.0496379137039,522,522
jc,2019,2,3206,Hilltop,132,102,40.7311689,-74.0575736,234,234
jc,2019,2,3207,Oakland Ave,263,184,40.7376037,-74.0524783,447,447
jc,2019,2,3209,Brunswick St,512,452,40.7241765,-74.0506564,964,964
jc,2019,2,3210,Pershing Field,270,243,40.742677141,-74.051788633,513,513
jc,2019,2,3211,Newark Ave,502,544,40.72152515,-74.046304543,1046,1046
jc,2019,2,3212,Christ Hospital,103,65,40.734785818,-74.050443636,168,168
jc,2019,2,3213,Van Vorst Park,441,374,40.71848892,-74.047726625,815,815
jc,2019,2,3214,Essex Light Rail,281,313,40.7127742,-74.0364857,594,594
jc,2019,2,3220,5 Corners Library,111,89,40.73496102000952,-74.0595030784607,200,200
jc,2019,2,3225,Baldwin at Montgomery,208,186,40.7236589,-74.0641943,394,394
jc,2019,2,3267,Morris Canal,431,356,40.7124188237569,-74.03852552175522,787,787
jc,2019,2,3268,Lafayette Park,90,104,40.71346382669195,-74.06285852193832,194,194
