mode,start_station_id,start_station_name,year,month,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available,data_quality
jc,3183,Exchange Place,2019,1,1803,817,986,1803,40.7162469,-74.0334588,0,0.0,0,year_month
jc,3183,Exchange Place,2019,2,1661,757,904,1661,40.7162469,-74.0334588,0,0.0,0,year_month
jc,3183,Exchange Place,2019,3,2280,1045,1235,2280,40.7162469,-74.0334588,0,0.0,0,year_month
jc,3183,Exchange Place,2019,4,3577,1571,2006,3577,40.71624690000001,-74.0334588,0,0.0,0,year_month
jc,3183,Exchange Place,2019,5,2518,1113,1405,2518,40.7162469,-74.0334588,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,1,770,367,403,770,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,2,844,405,439,844,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,3,956,452,504,956,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,4,1372,670,702,1372,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,5,2032,959,1073,2032,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,6,3126,1400,1726,3126,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,7,2486,1166,1320,2486,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,8,2030,997,1033,2030,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,9,2069,1020,1049,2069,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,10,1625,801,824,1625,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,11,1121,561,560,1121,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2019,12,643,309,334,643,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,1,993,493,500,993,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,2,882,440,442,882,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,3,813,401,412,813,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,4,554,277,277,554,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,5,1403,693,710,1403,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,6,2279,1141,1138,2279,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,7,2147,1069,1078,2147,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,8,2223,1100,1123,2223,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,9,1700,832,868,1700,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,10,1308,640,668,1308,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,11,982,477,505,982,40.7141454,-74.0335519,0,0.0,0,year_month
jc,3184,Paulus Hook,2020,12,446,227,219,446,40.7141454,-74.0335519,0,0.0,0,year_month
