mode,year,month,start_station_id,start_station_name,start_trips,end_trips,station_lat,station_lng,touchpoints,trips
nyc,2019,1,119,Park Ave & St Edwards St,232,308,40.69608941,-73.97803415,540,540
nyc,2019,1,120,Lexington Ave & Classon Ave,575,478,40.68676793,-73.95928168,1053,1053
nyc,2019,1,127,Barrow St & Hudson St,3067,3083,40.73172428,-74.00674436,6150,6150
nyc,2019,1,128,MacDougal St & Prince St,2824,2865,40.72710258,-74.00297088,5689,5689
nyc,2019,1,143,Clinton St & Joralemon St,1436,1438,40.69239502,-73.99337909,2874,2874
nyc,2019,1,144,Nassau St & Navy St,454,476,40.69839895,-73.98068914,930,930
nyc,2019,1,146,Hudson St & Reade St,1701,1716,40.71625008,-74.0091059,3417,3417
nyc,2019,1,150,E 2 St & Avenue C,1489,1487,40.7208736,-73.98085795,2976,2976
nyc,2019,1,151,Cleveland Pl & Spring St,3735,3734,40.722103786686034,-73.99724900722504,7469,7469
nyc,2019,1,157,Henry St & Atlantic Ave,1178,1218,40.69089272,-73.99612349,2396,2396
nyc,2019,1,161,LaGuardia Pl & W 3 St,2246,2290,40.72917025,-73.99810231,4536,4536
nyc,2019,1,164,E 47 St & 2 Ave,1905,1961,40.75323098,-73.97032517,3866,3866
nyc,2019,1,167,E 39 St & 3 Ave,2849,2873,40.7489006,-73.97604882,5722,5722
nyc,2019,1,168,W 18 St & 6 Ave,3846,3929,40.73971301,-73.99456405,7775,7775
nyc,2019,1,173,Broadway & W 49 St,3733,3789,40.76068327096592,-73.9845272898674,7522,7522
nyc,2019,1,174,E 25 St & 1 Ave,2400,2404,40.7381765,-73.97738662,4804,4804
nyc,2019,1,195,Liberty St & Broadway,2559,2571,40.70905623,-74.01043382,5130,5130
nyc,2019,1,2000,Front St & Washington St,1426,1532,40.70255088,-73.98940236,2958,2958
nyc,2019,1,2002,Wythe Ave & Metropolitan Ave,1640,1733,40.716887,-73.963198,3373,3373
nyc,2019,1,2003,1 Ave & E 18 St,3261,3250,40.73381219196632,-73.98054420948029,6511,6511
nyc,2019,1,2005,Railroad Ave & Kay Ave,34,34,40.70531194,-73.97100056,68,68
nyc,2019,1,2006,Central Park S & 6 Ave,2917,2862,40.76590936,-73.97634151,5779,5779
nyc,2019,1,2008,Little West St & 1 Pl,1802,1816,40.70569254,-74.01677685,3618,3618
nyc,2019,1,2009,Catherine St & Monroe St,1546,1587,40.71117444,-73.99682619,3133,3133
nyc,2019,1,2010,Grand St & Greene St,1699,1723,40.72165481,-74.00234737,3422,3422
nyc,2019,1,2012,E 27 St & 1 Ave,2690,2583,40.739445,-73.976806,5273,5273
nyc,2019,1,2021,W 45 St & 8 Ave,2796,2808,40.75929124,-73.98859651,5604,5604
nyc,2019,1,2022,E 60 St & York Ave,546,557,40.759107,-73.959223,1103,1103
nyc,2019,1,2023,E 55 St & Lexington Ave,1478,1482,40.75968085,-73.97031366,2960,2960
nyc,2019,1,212,W 16 St & The High Line,2280,2223,40.74334935,-74.00681753,4503,4503
nyc,2019,1,216,Columbia Heights & Cranberry St,341,296,40.70037867,-73.99548059,637,637
nyc,2019,1,217,Old Fulton St,832,1399,40.70277159,-73.99383605,2231,2231
