mode,start_station_id,start_station_name,year,month,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available,data_quality
nyc,119,Park Ave & St Edwards St,2019,1,540,232,308,540,40.69608941,-73.97803415,28,5185.185185185185,1,year_month
nyc,120,Lexington Ave & Classon Ave,2019,1,1053,575,478,1053,40.68676793,-73.95928168,16,1519.4681861348529,1,year_month
nyc,127,Barrow St & Hudson St,2019,1,6150,3067,3083,6150,40.73172428,-74.00674436,45,731.7073170731708,1,year_month
nyc,128,MacDougal St & Prince St,2019,1,5689,2824,2865,5689,40.72710258,-74.00297088,57,1001.9335559852345,1,year_month
nyc,143,Clinton St & Joralemon St,2019,1,2874,1436,1438,2874,40.69239502,-73.99337909,40,1391.7884481558804,1,year_month
nyc,144,Nassau St & Navy St,2019,1,930,454,476,930,40.69839895,-73.98068914,52,5591.397849462366,1,year_month
nyc,146,Hudson St & Reade St,2019,1,3417,1701,1716,3417,40.71625008,-74.0091059,39,1141.352063213345,1,year_month
nyc,150,E 2 St & Avenue C,2019,1,2976,1489,1487,2976,40.7208736,-73.98085795,30,1008.0645161290322,1,year_month
nyc,151,Cleveland Pl & Spring St,2019,1,7469,3735,3734,7469,40.722103786686034,-73.99724900722504,85,1138.0372205114475,1,year_month
nyc,157,Henry St & Atlantic Ave,2019,1,2396,1178,1218,2396,40.69089272,-73.99612349,50,2086.8113522537565,1,year_month
nyc,161,LaGuardia Pl & W 3 St,2019,1,4536,2246,2290,4536,40.72917025,-73.99810231,34,749.5590828924162,1,year_month
nyc,164,E 47 St & 2 Ave,2019,1,3866,1905,1961,3866,40.75323098,-73.97032517,77,1991.722710812209,1,year_month
nyc,167,E 39 St & 3 Ave,2019,1,5722,2849,2873,5722,40.7489006,-73.97604882,105,1835.0227193289059,1,year_month
nyc,168,W 18 St & 6 Ave,2019,1,7775,3846,3929,7775,40.73971301,-73.99456405,63,810.2893890675242,1,year_month
nyc,173,Broadway & W 49 St,2019,1,7522,3733,3789,7522,40.76068327096592,-73.9845272898674,64,850.8375432065941,1,year_month
nyc,174,E 25 St & 1 Ave,2019,1,4804,2400,2404,4804,40.7381765,-73.97738662,48,999.1673605328892,1,year_month
nyc,195,Liberty St & Broadway,2019,1,5130,2559,2571,5130,40.70905623,-74.01043382,31,604.2884990253411,1,year_month
nyc,2000,Front St & Washington St,2019,1,2958,1426,1532,2958,40.70255088,-73.98940236,28,946.5855307640297,1,year_month
nyc,2002,Wythe Ave & Metropolitan Ave,2019,1,3373,1640,1733,3373,40.716887,-73.963198,23,681.8855618144086,1,year_month
nyc,2003,1 Ave & E 18 St,2019,1,6511,3261,3250,6511,40.73381219196632,-73.98054420948029,41,629.7035785593611,1,year_month
nyc,2005,Railroad Ave & Kay Ave,2019,1,68,34,34,68,40.70531194,-73.97100056,3,4411.764705882353,1,year_month
nyc,2006,Central Park S & 6 Ave,2019,1,5779,2917,2862,5779,40.76590936,-73.97634151,58,1003.6338466862779,1,year_month
nyc,2008,Little West St & 1 Pl,2019,1,3618,1802,1816,3618,40.70569254,-74.01677685,27,746.2686567164179,1,year_month
nyc,2009,Catherine St & Monroe St,2019,1,3133,1546,1587,3133,40.71117444,-73.99682619,33,1053.303542930099,1,year_month
nyc,2010,Grand St & Greene St,2019,1,3422,1699,1723,3422,40.72165481,-74.00234737,69,2016.3646990064292,1,year_month
