mode,year,hour,week_part,trips
jc,2019,0,weekday,1443
jc,2019,1,weekday,767
jc,2019,2,weekday,397
jc,2019,3,weekday,297
jc,2019,4,weekday,755
jc,2019,5,weekday,3501
jc,2019,6,weekday,10828
jc,2019,7,weekday,26742
jc,2019,8,weekday,43112
jc,2019,9,weekday,19892
jc,2019,10,weekday,10016
jc,2019,11,weekday,9144
jc,2019,12,weekday,10836
jc,2019,13,weekday,10868
jc,2019,14,weekday,9939
jc,2019,15,weekday,10764
jc,2019,16,weekday,15808
jc,2019,17,weekday,32213
jc,2019,18,weekday,35813
jc,2019,19,weekday,24233
jc,2019,20,weekday,15613
jc,2019,21,weekday,10041
jc,2019,22,weekday,6519
jc,2019,23,weekday,3391
jc,2019,0,weekend,1335
jc,2019,1,weekend,839
jc,2019,2,weekend,546
jc,2019,3,weekend,347
jc,2019,4,weekend,205
jc,2019,5,weekend,336
jc,2019,6,weekend,660
jc,2019,7,weekend,1555
jc,2019,8,weekend,3360
jc,2019,9,weekend,4603
jc,2019,10,weekend,6345
jc,2019,11,weekend,6980
jc,2019,12,weekend,7170
jc,2019,13,weekend,7437
jc,2019,14,weekend,6825
jc,2019,15,weekend,6978
jc,2019,16,weekend,6767
jc,2019,17,weekend,6674
jc,2019,18,weekend,6481
jc,2019,19,weekend,5480
jc,2019,20,weekend,4240
jc,2019,21,weekend,2942
jc,2019,22,weekend,2266
jc,2019,23,weekend,1592
jc,2020,0,weekday,1821
jc,2020,1,weekday,878
jc,2020,2,weekday,410
jc,2020,3,weekday,279
jc,2020,4,weekday,598
jc,2020,5,weekday,1890
jc,2020,6,weekday,6115
jc,2020,7,weekday,11347
jc,2020,8,weekday,14401
jc,2020,9,weekday,9481
jc,2020,10,weekday,7292
jc,2020,11,weekday,8331
jc,2020,12,weekday,10539
jc,2020,13,weekday,10777
jc,2020,14,weekday,11066
jc,2020,15,weekday,12314
jc,2020,16,weekday,15064
jc,2020,17,weekday,22247
jc,2020,18,weekday,25383
jc,2020,19,weekday,19688
jc,2020,20,weekday,12426
jc,2020,21,weekday,7636
jc,2020,22,weekday,5633
jc,2020,23,weekday,3463
jc,2020,0,weekend,1322
jc,2020,1,weekend,802
jc,2020,2,weekend,457
jc,2020,3,weekend,251
jc,2020,4,weekend,177
jc,2020,5,weekend,371
jc,2020,6,weekend,737
jc,2020,7,weekend,1444
jc,2020,8,weekend,2839
jc,2020,9,weekend,4549
jc,2020,10,weekend,5716
jc,2020,11,weekend,6861
jc,2020,12,weekend,7575
jc,2020,13,weekend,8304
jc,2020,14,weekend,8970
jc,2020,15,weekend,9549
jc,2020,16,weekend,9545
jc,2020,17,weekend,9082
jc,2020,18,weekend,8151
jc,2020,19,weekend,6574
jc,2020,20,weekend,4370
jc,2020,21,weekend,2758
jc,2020,22,weekend,2203
jc,2020,23,weekend,1563
jc,2023,0,weekday,5378
jc,2023,1,weekday,2753
jc,2023,2,weekday,1449
jc,2023,3,weekday,859
jc,2023,4,weekday,2248
jc,2023,5,weekday,7651
jc,2023,6,weekday,24555
jc,2023,7,weekday,45934
jc,2023,8,weekday,57602
jc,2023,9,weekday,30578
jc,2023,10,weekday,22295
jc,2023,11,weekday,26187
jc,2023,12,weekday,30732
jc,2023,13,weekday,32611
jc,2023,14,weekday,33781
jc,2023,15,weekday,39332
jc,2023,16,weekday,50923
jc,2023,17,weekday,77020
jc,2023,18,weekday,79003
jc,2023,19,weekday,56699
jc,2023,20,weekday,39194
jc,2023,21,weekday,27885
jc,2023,22,weekday,19507
jc,2023,23,weekday,12727
jc,2023,0,weekend,5973
jc,2023,1,weekend,4445
jc,2023,2,weekend,2942
jc,2023,3,weekend,1544
jc,2023,4,weekend,907
jc,2023,5,weekend,1137
jc,2023,6,weekend,1919
jc,2023,7,weekend,3807
jc,2023,8,weekend,7488
jc,2023,9,weekend,12257
jc,2023,10,weekend,16193
jc,2023,11,weekend,18275
jc,2023,12,weekend,19637
jc,2023,13,weekend,19820
jc,2023,14,weekend,19244
