mode,year,hour,week_part,trips,run_tag,year_trips,pct_of_mode_year_trips
jc,2019,0,weekday,1443,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.35638869336494644
jc,2019,1,weekday,767,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.18943182800479136
jc,2019,2,weekday,397,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.0980501117573692
jc,2019,3,weekday,297,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.07335235060941726
jc,2019,4,weekday,755,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.18646809666703715
jc,2019,5,weekday,3501,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.8646686177897973
jc,2019,6,weekday,10828,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,2.674273577100236
jc,2019,7,weekday,26742,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,6.604675286185308
jc,2019,8,weekday,43112,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,10.647698786105039
jc,2019,9,weekday,19892,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,4.9128786475506
jc,2019,10,weekday,10016,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,2.473727756578866
jc,2019,11,weekday,9144,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,2.258363279368725
jc,2019,12,weekday,10836,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,2.676249397992072
jc,2019,13,weekday,10868,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,2.6841526815594166
jc,2019,14,weekday,9939,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,2.454710480494943
jc,2019,15,weekday,10764,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,2.6584670099655465
jc,2019,16,weekday,15808,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,3.9042220822682423
jc,2019,17,weekday,32213,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,7.955889798589758
jc,2019,18,weekday,35813,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,8.845009199916028
jc,2019,19,weekday,24233,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,5.985008458983193
jc,2019,20,weekday,15613,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,3.8560614480297364
jc,2019,21,weekday,10041,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,2.479902196865854
jc,2019,22,weekday,6519,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,1.6100470492349868
jc,2019,23,weekday,3391,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.8375010805270502
jc,2019,0,weekend,1335,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.3297151113251584
jc,2019,1,weekend,839,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.20721421603131676
jc,2019,2,weekend,546,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.13484977586781757
jc,2019,3,weekend,347,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.08570123118339322
jc,2019,4,weekend,205,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.05063041035330147
jc,2019,5,weekend,336,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.08298447745711851
jc,2019,6,weekend,660,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.16300522357648278
jc,2019,7,weekend,1555,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.38405018585065265
jc,2019,8,weekend,3360,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,0.829844774571185
jc,2019,9,weekend,4603,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,1.1368379456402278
jc,2019,10,weekend,6345,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,1.5670729448375504
jc,2019,11,weekend,6980,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,1.7239037281270453
jc,2019,12,weekend,7170,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,1.770829474308154
jc,2019,13,weekend,7437,y2019_2020_2023_2025_m1_2_3_4_5_6_7_8_9_10_11_12_modejc,404895,1.8367724965731858
