mode,year,hour,week_part,trips
nyc,2019,0,weekday,103853
nyc,2019,1,weekday,52353
nyc,2019,2,weekday,30229
nyc,2019,3,weekday,19545
nyc,2019,4,weekday,30408
nyc,2019,5,weekday,126720
nyc,2019,6,weekday,412064
nyc,2019,7,weekday,863027
nyc,2019,8,weekday,1489252
nyc,2019,9,weekday,1082380
nyc,2019,10,weekday,627342
nyc,2019,11,weekday,603347
nyc,2019,12,weekday,700119
nyc,2019,13,weekday,726548
nyc,2019,14,weekday,763224
nyc,2019,15,weekday,826121
nyc,2019,16,weekday,1020922
nyc,2019,17,weekday,1596638
nyc,2019,18,weekday,1517330
nyc,2019,19,weekday,1019904
nyc,2019,20,weekday,683614
nyc,2019,21,weekday,473894
nyc,2019,22,weekday,351315
nyc,2019,23,weekday,225677
nyc,2019,0,weekend,81481
nyc,2019,1,weekend,52880
nyc,2019,2,weekend,34079
nyc,2019,3,weekend,22014
nyc,2019,4,weekend,14489
nyc,2019,5,weekend,13167
nyc,2019,6,weekend,30983
nyc,2019,7,weekend,70352
nyc,2019,8,weekend,137512
nyc,2019,9,weekend,225798
nyc,2019,10,weekend,311759
nyc,2019,11,weekend,374937
nyc,2019,12,weekend,422430
nyc,2019,13,weekend,437439
nyc,2019,14,weekend,441526
nyc,2019,15,weekend,444087
nyc,2019,16,weekend,437476
nyc,2019,17,weekend,405844
nyc,2019,18,weekend,360368
nyc,2019,19,weekend,294672
nyc,2019,20,weekend,215750
nyc,2019,21,weekend,158261
nyc,2019,22,weekend,126105
nyc,2019,23,weekend,92462
nyc,2020,0,weekday,109538
nyc,2020,1,weekday,57671
nyc,2020,2,weekday,33675
nyc,2020,3,weekday,21625
nyc,2020,4,weekday,26228
nyc,2020,5,weekday,91651
nyc,2020,6,weekday,306591
nyc,2020,7,weekday,581049
nyc,2020,8,weekday,850316
nyc,2020,9,weekday,680860
nyc,2020,10,weekday,552700
nyc,2020,11,weekday,601114
nyc,2020,12,weekday,714701
nyc,2020,13,weekday,776170
nyc,2020,14,weekday,840074
nyc,2020,15,weekday,935233
nyc,2020,16,weekday,1079077
nyc,2020,17,weekday,1379747
nyc,2020,18,weekday,1353881
nyc,2020,19,weekday,1006585
nyc,2020,20,weekday,644379
nyc,2020,21,weekday,415312
nyc,2020,22,weekday,309748
nyc,2020,23,weekday,215716
nyc,2020,0,weekend,82462
nyc,2020,1,weekend,55099
nyc,2020,2,weekend,31386
nyc,2020,3,weekend,18668
nyc,2020,4,weekend,12509
nyc,2020,5,weekend,14963
nyc,2020,6,weekend,39439
nyc,2020,7,weekend,80792
nyc,2020,8,weekend,139213
nyc,2020,9,weekend,220077
nyc,2020,10,weekend,312602
nyc,2020,11,weekend,397515
nyc,2020,12,weekend,471952
nyc,2020,13,weekend,522597
nyc,2020,14,weekend,551837
nyc,2020,15,weekend,564577
nyc,2020,16,weekend,550615
nyc,2020,17,weekend,504626
nyc,2020,18,weekend,434804
nyc,2020,19,weekend,339260
nyc,2020,20,weekend,240544
nyc,2020,21,weekend,163072
nyc,2020,22,weekend,126302
nyc,2020,23,weekend,95560
nyc,2023,0,weekday,272737
nyc,2023,1,weekday,146498
nyc,2023,2,weekday,88694
nyc,2023,3,weekday,58591
nyc,2023,4,weekday,67736
nyc,2023,5,weekday,211558
nyc,2023,6,weekday,603092
nyc,2023,7,weekday,1265049
nyc,2023,8,weekday,1889174
nyc,2023,9,weekday,1427586
nyc,2023,10,weekday,1068510
nyc,2023,11,weekday,1098304
nyc,2023,12,weekday,1249947
nyc,2023,13,weekday,1334320
nyc,2023,14,weekday,1498502
nyc,2023,15,weekday,1682264
nyc,2023,16,weekday,1946370
nyc,2023,17,weekday,2545980
nyc,2023,18,weekday,2402676
nyc,2023,19,weekday,1783854
nyc,2023,20,weekday,1259121
nyc,2023,21,weekday,940604
nyc,2023,22,weekday,756349
nyc,2023,23,weekday,531407
nyc,2023,0,weekend,210599
nyc,2023,1,weekend,152306
nyc,2023,2,weekend,104149
nyc,2023,3,weekend,69001
nyc,2023,4,weekend,45387
nyc,2023,5,weekend,36656
nyc,2023,6,weekend,72851
nyc,2023,7,weekend,135888
nyc,2023,8,weekend,230459
nyc,2023,9,weekend,363618
nyc,2023,10,weekend,487767
nyc,2023,11,weekend,595374
nyc,2023,12,weekend,670385
nyc,2023,13,weekend,702875
nyc,2023,14,weekend,721408
nyc,2023,15,weekend,730407
nyc,2023,16,weekend,714819
nyc,2023,17,weekend,668982
nyc,2023,18,weekend,613332
nyc,2023,19,weekend,508900
nyc,2023,20,weekend,380300
nyc,2023,21,weekend,297977
nyc,2023,22,weekend,251034
nyc,2023,23,weekend,204512
nyc,2025,0,weekday,343414
nyc,2025,1,weekday,181006
nyc,2025,2,weekday,107743
nyc,2025,3,weekday,70826
nyc,2025,4,weekday,92470
nyc,2025,5,weekday,289378
nyc,2025,6,weekday,821859
nyc,2025,7,weekday,1699627
nyc,2025,8,weekday,2579352
nyc,2025,9,weekday,1900439
nyc,2025,10,weekday,1355177
nyc,2025,11,weekday,1362796
nyc,2025,12,weekday,1526709
nyc,2025,13,weekday,1632807
nyc,2025,14,weekday,1819993
nyc,2025,15,weekday,2064464
nyc,2025,16,weekday,2447364
nyc,2025,17,weekday,3336287
nyc,2025,18,weekday,3114520
nyc,2025,19,weekday,2293135
nyc,2025,20,weekday,1626532
nyc,2025,21,weekday,1233455
nyc,2025,22,weekday,993621
nyc,2025,23,weekday,701459
nyc,2025,0,weekend,299168
nyc,2025,1,weekend,209353
nyc,2025,2,weekend,141636
nyc,2025,3,weekend,92828
nyc,2025,4,weekend,62646
nyc,2025,5,weekend,51193
nyc,2025,6,weekend,100731
nyc,2025,7,weekend,187471
nyc,2025,8,weekend,323663
nyc,2025,9,weekend,514134
nyc,2025,10,weekend,683062
nyc,2025,11,weekend,817573
nyc,2025,12,weekend,907142
nyc,2025,13,weekend,937474
nyc,2025,14,weekend,947188
nyc,2025,15,weekend,945228
nyc,2025,16,weekend,929869
nyc,2025,17,weekend,887409
nyc,2025,18,weekend,832016
nyc,2025,19,weekend,700205
nyc,2025,20,weekend,529219
nyc,2025,21,weekend,419215
nyc,2025,22,weekend,358845
nyc,2025,23,weekend,289984
