mode,start_station_id,start_station_name,year,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,months_covered,crashes_within_100m,crashes_within_100m_per_100k_trips,risk_proxy_available,data_quality
nyc,116,W 17 St & 8 Ave,2019,97725,48706,49019,97725,40.74177603,-74.00149746,7,45,46.04758250191865,1,yearly
nyc,119,Park Ave & St Edwards St,2019,11074,5313,5761,11074,40.69608941,-73.97803415,12,36,325.08578652700015,1,yearly
nyc,120,Lexington Ave & Classon Ave,2019,23069,11779,11290,23069,40.68676793,-73.95928168,12,15,65.02232433135376,1,yearly
nyc,127,Barrow St & Hudson St,2019,126684,63095,63589,126684,40.73172428,-74.00674436,12,20,15.78731331502005,1,yearly
nyc,128,MacDougal St & Prince St,2019,136088,67558,68530,136088,40.72710258,-74.00297088,12,24,17.635647522191523,1,yearly
nyc,143,Clinton St & Joralemon St,2019,49269,24630,24639,49269,40.69239502,-73.99337909,12,10,20.296738314152915,1,yearly
nyc,144,Nassau St & Navy St,2019,24838,12067,12771,24838,40.69839895,-73.98068914,12,6,24.156534342539658,1,yearly
nyc,146,Hudson St & Reade St,2019,65592,32635,32957,65592,40.71625008,-74.0091059,12,28,42.688132699109644,1,yearly
nyc,150,E 2 St & Avenue C,2019,72787,37322,35465,72787,40.7208736,-73.98085795,12,35,48.0855097750972,1,yearly
nyc,151,Cleveland Pl & Spring St,2019,170370,85076,85294,170370,40.722103786686034,-73.99724900722504,12,34,19.95656512296766,1,yearly
nyc,157,Henry St & Atlantic Ave,2019,41575,20666,20909,41575,40.69089272,-73.99612349,12,22,52.916416115454,1,yearly
nyc,161,LaGuardia Pl & W 3 St,2019,113891,56287,57604,113891,40.72917025,-73.99810231,12,9,7.9022925428699375,1,yearly
nyc,164,E 47 St & 2 Ave,2019,75835,37900,37935,75835,40.75323098,-73.97032517,12,44,58.02070284169578,1,yearly
nyc,167,E 39 St & 3 Ave,2019,104276,52289,51987,104276,40.74890060311814,-73.97604884983814,12,44,42.19571138133415,1,yearly
nyc,168,W 18 St & 6 Ave,2019,160608,79865,80743,160608,40.73971301,-73.99456405,12,52,32.37696752341104,1,yearly
nyc,173,Broadway & W 49 St,2019,139150,70197,68953,139150,40.76068327096592,-73.9845272898674,12,84,60.36651095939633,1,yearly
nyc,174,E 25 St & 1 Ave,2019,82336,41339,40997,82336,40.7381765,-73.97738662,12,23,27.934317916828604,1,yearly
nyc,195,Liberty St & Broadway,2019,93972,46991,46981,93972,40.70905623,-74.01043382,12,23,24.475375643808796,1,yearly
nyc,2000,Front St & Washington St,2019,72470,35757,36713,72470,40.70255088,-73.98940236,12,18,24.837863943700846,1,yearly
nyc,2002,Wythe Ave & Metropolitan Ave,2019,78868,39014,39854,78868,40.716887,-73.963198,12,16,20.287061926256527,1,yearly
nyc,2003,1 Ave & E 18 St,2019,121147,61365,59782,121147,40.73381219196632,-73.98054420948029,12,18,14.857982451071837,1,yearly
nyc,2005,Railroad Ave & Kay Ave,2019,2216,1054,1162,2216,40.70531194,-73.97100056,12,0,0.0,1,yearly
nyc,2006,Central Park S & 6 Ave,2019,149562,75587,73975,149562,40.76590939447247,-73.97634153081326,12,34,22.733047164386676,1,yearly
nyc,2008,Little West St & 1 Pl,2019,108980,54284,54696,108980,40.70569254,-74.01677685,12,31,28.445586346118557,1,yearly
nyc,2009,Catherine St & Monroe St,2019,50720,25126,25594,50720,40.71117444,-73.99682619,12,6,11.829652996845427,1,yearly
nyc,2010,Grand St & Greene St,2019,8629,4285,4344,8629,40.72165481,-74.00234737,3,6,69.53297021671109,1,yearly
nyc,2012,E 27 St & 1 Ave,2019,85174,44029,41145,85174,40.739445,-73.976806,12,41,48.13675534787611,1,yearly
nyc,2017,E 43 St & 2 Ave,2019,44863,22865,21998,44863,40.75022392,-73.97121414,11,69,153.80157367986982,1,yearly
nyc,2021,W 45 St & 8 Ave,2019,104711,52554,52157,104711,40.75929124,-73.98859651,12,92,87.86087421569844,1,yearly
nyc,2022,E 60 St & York Ave,2019,25271,12637,12634,25271,40.759107,-73.959223,12,103,407.58181314550274,1,yearly
nyc,2023,E 55 St & Lexington Ave,2019,29722,14775,14947,29722,40.75968085,-73.97031366,7,44,148.03849000740192,1,yearly
nyc,212,W 16 St & The High Line,2019,111494,54982,56512,111494,40.743349343140316,-74.0068175335829,12,23,20.628912766606273,1,yearly
nyc,216,Columbia Heights & Cranberry St,2019,17478,8993,8485,17478,40.70037867,-73.99548059,12,80,457.71827440210546,1,yearly
nyc,217,Old Fulton St,2019,77806,36373,41433,77806,40.70277159,-73.99383605,12,13,16.70822301621983,1,yearly
nyc,223,W 13 St & 7 Ave,2019,117401,58476,58925,117401,40.73781509,-73.99994661,12,37,31.51591553734636,1,yearly
nyc,224,Spruce St & Nassau St,2019,51174,25635,25539,51174,40.71146364,-74.00552427,12,32,62.53175440653456,1,yearly
nyc,228,E 48 St & 3 Ave,2019,58861,29780,29081,58861,40.7546011026,-73.971878855,12,47,79.84913610030411,1,yearly
nyc,229,Great Jones St,2019,156524,76523,80001,156524,40.72743423,-73.99379025,12,34,21.721908461322226,1,yearly
nyc,232,Cadman Plaza E & Tillary St,2019,1,0,1,1,40.69597683,-73.99014892,1,6,600000.0,1,yearly
nyc,236,St Marks Pl & 2 Ave,2019,117452,58046,59406,117452,40.7284186,-73.98713956,12,37,31.50223069849811,1,yearly
nyc,237,E 11 St & 2 Ave,2019,114224,56688,57536,114224,40.73047309,-73.98672378,12,35,30.64154643507494,1,yearly
nyc,238,Bank St & Washington St,2019,73163,36510,36653,73163,40.7361967,-74.00859207,12,15,20.502166395582467,1,yearly
nyc,239,Willoughby St & Fleet St,2019,53996,27729,26267,53996,40.69196566,-73.9813018,12,8,14.815912289799243,1,yearly
nyc,241,DeKalb Ave & S Portland Ave,2019,34075,17264,16811,34075,40.68981035,-73.97493121,12,11,32.281731474688186,1,yearly
nyc,242,Carlton Ave & Flushing Ave,2019,25567,12211,13356,25567,40.697787,-73.973736,12,15,58.66937849571713,1,yearly
nyc,243,Fulton St & Rockwell Pl,2019,27766,13140,14626,27766,40.68834866666666,-73.97943266666665,12,21,75.63206799683066,1,yearly
nyc,244,Willoughby Ave & Hall St,2019,34591,17913,16678,34591,40.69196035,-73.96536851,12,2,5.781850770431615,1,yearly
nyc,245,Myrtle Ave & St Edwards St,2019,18917,9643,9274,18917,40.69327018,-73.97703874,12,11,58.148755088016074,1,yearly
nyc,247,Perry St & Bleecker St,2019,73180,36524,36656,73180,40.73535398,-74.00483091,12,6,8.198961464881116,1,yearly
nyc,248,Laight St & Hudson St,2019,24321,12097,12224,24321,40.72185379,-74.00771779,12,13,53.45174951687842,1,yearly
nyc,249,Harrison St & Hudson St,2019,37917,18959,18958,37917,40.71870987,-74.0090009,12,12,31.64807342353034,1,yearly
nyc,250,Lafayette St & Jersey St,2019,47617,23898,23719,47617,40.72456089,-73.99565293,5,38,79.80343154755654,1,yearly
nyc,251,Mott St & Prince St,2019,110431,55012,55419,110431,40.72317949394324,-73.99480013458232,12,17,15.39422807001657,1,yearly
nyc,252,MacDougal St & Washington Sq,2019,85618,42431,43187,85618,40.73226398,-73.99852205,12,9,10.511808264617253,1,yearly
nyc,254,W 11 St & 6 Ave,2019,97531,48875,48656,97531,40.73532427,-73.99800419,12,41,42.03791614973701,1,yearly
nyc,257,Lispenard St & Broadway,2019,97705,48550,49155,97705,40.71939226,-74.00247214,12,83,84.94959316309298,1,yearly
nyc,258,DeKalb Ave & Vanderbilt Ave,2019,34673,18167,16506,34673,40.68940747,-73.96885458,12,16,46.145415741354945,1,yearly
