mode,year,dow,trips,dow_name,week_part
nyc,2019,0,2922106,Monday,weekday
nyc,2019,1,3157951,Tuesday,weekday
nyc,2019,2,3146705,Wednesday,weekday
nyc,2019,3,3001240,Thursday,weekday
nyc,2019,4,3117824,Friday,weekday
nyc,2019,5,2815274,Saturday,weekend
nyc,2019,6,2390597,Sunday,weekend
nyc,2020,0,2553803,Monday,weekday
nyc,2020,1,2805470,Tuesday,weekday
nyc,2020,2,2834665,Wednesday,weekday
nyc,2020,3,2703602,Thursday,weekday
nyc,2020,4,2686101,Friday,weekday
nyc,2020,5,3097093,Saturday,weekend
nyc,2020,6,2873378,Sunday,weekend
nyc,2023,0,4730831,Monday,weekday
nyc,2023,1,5283220,Tuesday,weekday
nyc,2023,2,5537911,Wednesday,weekday
nyc,2023,3,5437743,Thursday,weekday
nyc,2023,4,5139218,Friday,weekday
nyc,2023,5,4652966,Saturday,weekend
nyc,2023,6,4316020,Sunday,weekend
nyc,2025,0,6110677,Monday,weekday
nyc,2025,1,6865245,Tuesday,weekday
nyc,2025,2,6815470,Wednesday,weekday
nyc,2025,3,6803161,Thursday,weekday
nyc,2025,4,6999880,Friday,weekday
nyc,2025,5,6550572,Saturday,weekend
nyc,2025,6,5616680,Sunday,weekend
