mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,first_month,last_month,observation_months,data_quality,crashes_within_100m,crashes_within_100m_per_100k_trips,risk_proxy_available
nyc,116,W 17 St & 8 Ave,97725,48706,49019,97725,40.74177603,-74.00149746,2019,2019,1,7,6,12,7,lifetime_aggregate,86,88.00204655922231,1
nyc,119,Park Ave & St Edwards St,11074,5313,5761,11074,40.69608941,-73.97803415,2019,2019,1,12,1,12,12,lifetime_aggregate,72,650.1715730540003,1
nyc,120,Lexington Ave & Classon Ave,23069,11779,11290,23069,40.68676793,-73.95928168,2019,2019,1,12,1,12,12,lifetime_aggregate,31,134.37947028479778,1
nyc,1234.56,Morgan HCT Charging,2423,902,1521,2423,40.708948,-73.932777,2025,2025,1,7,6,12,7,lifetime_aggregate,38,1568.3037556747831,1
nyc,127,Barrow St & Hudson St,126684,63095,63589,126684,40.73172428,-74.00674436,2019,2019,1,12,1,12,12,lifetime_aggregate,30,23.680969972530075,1
nyc,128,MacDougal St & Prince St,136088,67558,68530,136088,40.72710258,-74.00297088,2019,2019,1,12,1,12,12,lifetime_aggregate,41,30.127564517077182,1
nyc,143,Clinton St & Joralemon St,49269,24630,24639,49269,40.69239502,-73.99337909,2019,2019,1,12,1,12,12,lifetime_aggregate,31,62.919888773874035,1
nyc,144,Nassau St & Navy St,24838,12067,12771,24838,40.69839895,-73.98068914,2019,2019,1,12,1,12,12,lifetime_aggregate,40,161.0435622835977,1
nyc,146,Hudson St & Reade St,65592,32635,32957,65592,40.71625008,-74.0091059,2019,2019,1,12,1,12,12,lifetime_aggregate,60,91.47457006952067,1
nyc,150,E 2 St & Avenue C,72787,37322,35465,72787,40.7208736,-73.98085795,2019,2019,1,12,1,12,12,lifetime_aggregate,105,144.2565293252916,1
nyc,151,Cleveland Pl & Spring St,170370,85076,85294,170370,40.722103786686034,-73.99724900722504,2019,2019,1,12,1,12,12,lifetime_aggregate,77,45.195750425544404,1
nyc,157,Henry St & Atlantic Ave,41575,20666,20909,41575,40.69089272,-73.99612349,2019,2019,1,12,1,12,12,lifetime_aggregate,50,120.26458208057727,1
nyc,161,LaGuardia Pl & W 3 St,113891,56287,57604,113891,40.72917025,-73.99810231,2019,2019,1,12,1,12,12,lifetime_aggregate,34,29.853105161953096,1
nyc,164,E 47 St & 2 Ave,75835,37900,37935,75835,40.75323098,-73.97032517,2019,2019,1,12,1,12,12,lifetime_aggregate,88,116.04140568339156,1
nyc,167,E 39 St & 3 Ave,104276,52289,51987,104276,40.74890060311814,-73.97604884983814,2019,2019,1,12,1,12,12,lifetime_aggregate,96,92.06337028654724,1
