mode,start_station_id,start_station_name,year,month,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,crashes_within_100m,crashes_within_100m_per_100k_trips,risk_proxy_available,data_quality
nyc,119,Park Ave & St Edwards St,2019,1,540,232,308,540,40.69608941,-73.97803415,2,370.3703703703704,1,year_month
nyc,120,Lexington Ave & Classon Ave,2019,1,1053,575,478,1053,40.68676793,-73.95928168,2,189.9335232668566,1,year_month
nyc,127,Barrow St & Hudson St,2019,1,6150,3067,3083,6150,40.73172428,-74.00674436,2,32.520325203252035,1,year_month
nyc,128,MacDougal St & Prince St,2019,1,5689,2824,2865,5689,40.72710258,-74.00297088,1,17.577781683951486,1,year_month
nyc,143,Clinton St & Joralemon St,2019,1,2874,1436,1438,2874,40.69239502,-73.99337909,2,69.58942240779402,1,year_month
nyc,144,Nassau St & Navy St,2019,1,930,454,476,930,40.69839895,-73.98068914,0,0.0,1,year_month
nyc,146,Hudson St & Reade St,2019,1,3417,1701,1716,3417,40.71625008,-74.0091059,3,87.7963125548727,1,year_month
nyc,150,E 2 St & Avenue C,2019,1,2976,1489,1487,2976,40.7208736,-73.98085795,3,100.80645161290322,1,year_month
nyc,151,Cleveland Pl & Spring St,2019,1,7469,3735,3734,7469,40.722103786686034,-73.99724900722504,5,66.94336591243808,1,year_month
nyc,157,Henry St & Atlantic Ave,2019,1,2396,1178,1218,2396,40.69089272,-73.99612349,0,0.0,1,year_month
nyc,161,LaGuardia Pl & W 3 St,2019,1,4536,2246,2290,4536,40.72917025,-73.99810231,0,0.0,1,year_month
nyc,164,E 47 St & 2 Ave,2019,1,3866,1905,1961,3866,40.75323098,-73.97032517,2,51.73305742369374,1,year_month
nyc,167,E 39 St & 3 Ave,2019,1,5722,2849,2873,5722,40.7489006,-73.97604882,5,87.38203425375742,1,year_month
nyc,168,W 18 St & 6 Ave,2019,1,7775,3846,3929,7775,40.73971301,-73.99456405,2,25.723472668810288,1,year_month
nyc,173,Broadway & W 49 St,2019,1,7522,3733,3789,7522,40.76068327096592,-73.9845272898674,7,93.06035628822121,1,year_month
nyc,174,E 25 St & 1 Ave,2019,1,4804,2400,2404,4804,40.7381765,-73.97738662,4,83.26394671107411,1,year_month
nyc,195,Liberty St & Broadway,2019,1,5130,2559,2571,5130,40.70905623,-74.01043382,1,19.49317738791423,1,year_month
nyc,2000,Front St & Washington St,2019,1,2958,1426,1532,2958,40.70255088,-73.98940236,0,0.0,1,year_month
nyc,2002,Wythe Ave & Metropolitan Ave,2019,1,3373,1640,1733,3373,40.716887,-73.963198,0,0.0,1,year_month
nyc,2003,1 Ave & E 18 St,2019,1,6511,3261,3250,6511,40.73381219196632,-73.98054420948029,1,15.35862386730149,1,year_month
nyc,2005,Railroad Ave & Kay Ave,2019,1,68,34,34,68,40.70531194,-73.97100056,0,0.0,1,year_month
nyc,2006,Central Park S & 6 Ave,2019,1,5779,2917,2862,5779,40.76590936,-73.97634151,1,17.304031839418585,1,year_month
nyc,2008,Little West St & 1 Pl,2019,1,3618,1802,1816,3618,40.70569254,-74.01677685,6,165.8374792703151,1,year_month
nyc,2009,Catherine St & Monroe St,2019,1,3133,1546,1587,3133,40.71117444,-73.99682619,1,31.91828917969997,1,year_month
nyc,2010,Grand St & Greene St,2019,1,3422,1699,1723,3422,40.72165481,-74.00234737,0,0.0,1,year_month
nyc,2012,E 27 St & 1 Ave,2019,1,5273,2690,2583,5273,40.739445,-73.976806,3,56.89360895126114,1,year_month
nyc,2021,W 45 St & 8 Ave,2019,1,5604,2796,2808,5604,40.75929124,-73.98859651,7,124.91077801570307,1,year_month
nyc,2022,E 60 St & York Ave,2019,1,1103,546,557,1103,40.759107,-73.959223,10,906.6183136899365,1,year_month
nyc,2023,E 55 St & Lexington Ave,2019,1,2960,1478,1482,2960,40.75968085,-73.97031366,5,168.91891891891893,1,year_month
nyc,212,W 16 St & The High Line,2019,1,4503,2280,2223,4503,40.74334935,-74.00681753,1,22.20741727737064,1,year_month
nyc,216,Columbia Heights & Cranberry St,2019,1,637,341,296,637,40.70037867,-73.99548059,7,1098.901098901099,1,year_month
nyc,217,Old Fulton St,2019,1,2231,832,1399,2231,40.70277159,-73.99383605,0,0.0,1,year_month
nyc,223,W 13 St & 7 Ave,2019,1,5605,2770,2835,5605,40.73781509,-73.99994661,1,17.84121320249777,1,year_month
nyc,224,Spruce St & Nassau St,2019,1,20,9,11,20,40.71146364,-74.00552427,3,15000.0,1,year_month
nyc,228,E 48 St & 3 Ave,2019,1,3255,1642,1613,3255,40.7546011026,-73.971878855,4,122.88786482334869,1,year_month
nyc,229,Great Jones St,2019,1,7654,3752,3902,7654,40.72743423,-73.99379025,2,26.130128037627383,1,year_month
nyc,232,Cadman Plaza E & Tillary St,2019,1,1,0,1,1,40.69597683,-73.99014892,0,0.0,1,year_month
nyc,236,St Marks Pl & 2 Ave,2019,1,5445,2670,2775,5445,40.7284186,-73.98713956,4,73.46189164370982,1,year_month
nyc,237,E 11 St & 2 Ave,2019,1,7509,3735,3774,7509,40.73047309,-73.98672378,3,39.95205753096285,1,year_month
nyc,238,Bank St & Washington St,2019,1,3025,1519,1506,3025,40.7361967,-74.00859207,2,66.11570247933885,1,year_month
nyc,239,Willoughby St & Fleet St,2019,1,3566,1848,1718,3566,40.69196566000001,-73.98130179999998,1,28.042624789680314,1,year_month
nyc,241,DeKalb Ave & S Portland Ave,2019,1,1477,798,679,1477,40.68981035,-73.97493121,1,67.70480704129993,1,year_month
nyc,242,Carlton Ave & Flushing Ave,2019,1,1119,490,629,1119,40.697787,-73.973736,1,89.36550491510278,1,year_month
nyc,243,Fulton St & Rockwell Pl,2019,1,1459,637,822,1459,40.688226,-73.979382,3,205.620287868403,1,year_month
nyc,244,Willoughby Ave & Hall St,2019,1,1933,1037,896,1933,40.69196035,-73.96536851,1,51.73305742369374,1,year_month
nyc,245,Myrtle Ave & St Edwards St,2019,1,914,484,430,914,40.69327018,-73.97703874,2,218.8183807439825,1,year_month
nyc,247,Perry St & Bleecker St,2019,1,2668,1335,1333,2668,40.73535398,-74.00483091,1,37.48125937031484,1,year_month
nyc,248,Laight St & Hudson St,2019,1,1245,624,621,1245,40.72185379,-74.00771779,0,0.0,1,year_month
nyc,249,Harrison St & Hudson St,2019,1,1828,926,902,1828,40.71870987,-74.0090009,0,0.0,1,year_month
nyc,251,Mott St & Prince St,2019,1,4578,2289,2289,4578,40.72317958,-73.99480012,1,21.8435998252512,1,year_month
nyc,252,MacDougal St & Washington Sq,2019,1,3412,1694,1718,3412,40.732263980000006,-73.99852205,1,29.30832356389214,1,year_month
nyc,254,W 11 St & 6 Ave,2019,1,4587,2263,2324,4587,40.73532427,-73.99800419,3,65.40222367560497,1,year_month
nyc,257,Lispenard St & Broadway,2019,1,3991,1994,1997,3991,40.71939226,-74.00247214,3,75.16913054372337,1,year_month
nyc,258,DeKalb Ave & Vanderbilt Ave,2019,1,1866,1041,825,1866,40.68940747,-73.96885458,1,53.59056806002143,1,year_month
nyc,259,South St & Whitehall St,2019,1,2055,1012,1043,2055,40.70122128,-74.01234218,0,0.0,1,year_month
nyc,260,Broad St & Bridge St,2019,1,1769,872,897,1769,40.70365182,-74.01167797,6,339.17467495760314,1,year_month
nyc,261,Johnson St & Gold St,2019,1,1607,774,833,1607,40.69474881,-73.98362464,4,248.91101431238332,1,year_month
nyc,262,Washington Park,2019,1,1524,800,724,1524,40.6917823,-73.9737299,1,65.61679790026247,1,year_month
nyc,264,Maiden Ln & Pearl St,2019,1,2368,1180,1188,2368,40.70706456,-74.00731853,2,84.45945945945947,1,year_month
