mode,year,month,trips,days_in_month,trips_per_day
jc,2019,1,19676,31,634.7096774193549
jc,2019,2,18564,28,663.0
jc,2019,3,23604,31,761.4193548387096
jc,2019,4,33050,30,1101.6666666666667
jc,2019,5,36123,31,1165.258064516129
jc,2019,6,39422,30,1314.0666666666666
jc,2019,7,43741,31,1411.0
jc,2019,8,48706,31,1571.1612903225807
jc,2019,9,49240,30,1641.3333333333333
jc,2019,10,42247,31,1362.8064516129032
jc,2019,11,30794,30,1026.4666666666667
jc,2019,12,19728,31,636.3870967741935
jc,2020,1,26020,31,839.3548387096774
jc,2020,2,22961,29,791.7586206896551
jc,2020,3,17716,31,571.483870967742
jc,2020,4,9267,30,308.9
jc,2020,5,25064,31,808.516129032258
jc,2020,6,36906,30,1230.2
jc,2020,7,38656,31,1246.967741935484
jc,2020,8,43252,31,1395.225806451613
jc,2020,9,40368,30,1345.6
jc,2020,10,30078,31,970.258064516129
jc,2020,11,21269,30,708.9666666666667
jc,2020,12,11692,31,377.16129032258067
jc,2023,1,55811,31,1800.3548387096773
jc,2023,2,51001,28,1821.4642857142858
jc,2023,3,62802,31,2025.8709677419354
jc,2023,4,80379,30,2679.3
jc,2023,5,95486,31,3080.1935483870966
jc,2023,6,96434,30,3214.4666666666667
jc,2023,7,105977,31,3418.6129032258063
jc,2023,8,111469,31,3595.7741935483873
jc,2023,9,93670,30,3122.3333333333335
jc,2023,10,96975,31,3128.2258064516127
jc,2023,11,75237,30,2507.9
jc,2023,12,58285,31,1880.1612903225807
jc,2025,1,50335,31,1623.7096774193549
jc,2025,2,45019,28,1607.8214285714287
jc,2025,3,72932,31,2352.6451612903224
jc,2025,4,81058,30,2701.9333333333334
jc,2025,5,92603,31,2987.1935483870966
jc,2025,6,96437,30,3214.5666666666666
jc,2025,7,106944,31,3449.8064516129034
jc,2025,8,107647,31,3472.483870967742
jc,2025,9,115120,30,3837.3333333333335
jc,2025,10,103141,31,3327.1290322580644
jc,2025,11,75995,30,2533.1666666666665
jc,2025,12,47710,31,1539.032258064516
