mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,data_quality,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available
jc,3183,Exchange Place,11839,5303,6536,11839,40.7162469,-74.0334588,2019,2019,1,5,lifetime_aggregate,0,0.0,0
jc,3184,Paulus Hook,34804,16897,17907,34804,40.7141454,-74.0335519,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3185,City Hall,39993,19464,20529,39993,40.7177325,-74.043845,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3186,Grove St PATH,152521,68657,83864,152521,40.71958611647166,-74.04311746358871,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3187,Warren St,37726,18784,18942,37726,40.7211236,-74.03805095,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3192,Liberty Light Rail,50521,24790,25731,50521,40.7112423,-74.0557013,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3194,McGinley Square,21757,12699,9058,21757,40.7253399253558,-74.06762212514877,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3195,Sip Ave,62416,32283,30133,62416,40.73088422514886,-74.06390190124512,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3196,Riverview Park,7613,4031,3582,7613,40.7443187,-74.0439909,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3198,Heights Elevator,10977,5671,5306,10977,40.74871594538023,-74.04044330120087,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3199,Newport Pkwy,60740,30208,30532,60740,40.7287448,-74.0321082,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3201,Dey St,6124,2758,3366,6124,40.737711,-74.066921,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3202,Newport PATH,59738,29598,30140,59738,40.7272235,-74.0337589,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3203,Hamilton Park,74661,38259,36402,74661,40.727595966,-74.044247311,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3205,JC Medical Center,34536,17101,17435,34536,40.71653978099194,-74.0496379137039,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3206,Hilltop,10737,5953,4784,10737,40.7311689,-74.0575736,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3207,Oakland Ave,11906,7024,4882,11906,40.7376037,-74.0524783,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3209,Brunswick St,26657,13761,12896,26657,40.7241765,-74.0506564,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3210,Pershing Field,15616,8079,7537,15616,40.742677141,-74.051788633,2019,2020,2,12,lifetime_aggregate,0,0.0,0
jc,3211,Newark Ave,37136,18159,18977,37136,40.72152515,-74.046304543,2019,2020,2,12,lifetime_aggregate,0,0.0,0
