mode,year,month,trips,days_in_month,trips_per_day
nyc,2019,1,967287,31,31202.8064516129
nyc,2019,2,943744,28,33705.142857142855
nyc,2019,3,1327960,31,42837.41935483871
nyc,2019,4,1766094,30,58869.8
nyc,2019,5,1924563,31,62082.67741935484
nyc,2019,6,2125370,30,70845.66666666667
nyc,2019,7,2181064,31,70356.90322580645
nyc,2019,8,2344224,31,75620.12903225806
nyc,2019,9,2444900,30,81496.66666666667
nyc,2019,10,2092573,31,67502.35483870968
nyc,2019,11,1478708,30,49290.26666666667
nyc,2019,12,955210,31,30813.225806451614
nyc,2020,1,1243192,31,40102.967741935485
nyc,2020,2,1149391,29,39634.1724137931
nyc,2020,3,1071221,31,34555.51612903226
nyc,2020,4,684362,30,22812.066666666666
nyc,2020,5,1491340,31,48107.74193548387
nyc,2020,6,1887318,30,62910.6
nyc,2020,7,2110845,31,68091.7741935484
nyc,2020,8,2334608,31,75309.93548387097
nyc,2020,9,2494393,30,83146.43333333333
nyc,2020,10,2254215,31,72716.6129032258
nyc,2020,11,1741341,30,58044.7
nyc,2020,12,1091886,31,35222.12903225807
nyc,2023,1,1795015,31,57903.709677419356
nyc,2023,2,1695861,28,60566.46428571428
nyc,2023,3,2118683,31,68344.6129032258
nyc,2023,4,2749070,30,91635.66666666667
nyc,2023,5,3452818,31,111381.2258064516
nyc,2023,6,3450700,30,115023.33333333333
nyc,2023,7,3658311,31,118010.03225806452
nyc,2023,8,3963117,31,127842.48387096774
nyc,2023,9,3470121,30,115670.7
nyc,2023,10,3723784,31,120122.06451612903
nyc,2023,11,2816189,30,93872.96666666666
nyc,2023,12,2204240,31,71104.51612903226
nyc,2025,1,2124109,31,68519.64516129032
nyc,2025,2,2030843,28,72530.10714285714
nyc,2025,3,3167652,31,102182.32258064517
nyc,2025,4,3724288,30,124142.93333333333
nyc,2025,5,4324746,31,139507.93548387097
nyc,2025,6,4758167,30,158605.56666666668
nyc,2025,7,4986852,31,160866.1935483871
nyc,2025,8,5120938,31,165191.5483870968
nyc,2025,9,5286096,30,176203.2
nyc,2025,10,4730876,31,152608.90322580645
nyc,2025,11,3415726,30,113857.53333333334
nyc,2025,12,2091392,31,67464.25806451614
