mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,first_month,last_month,observation_months,data_quality,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available
nyc,116,W 17 St & 8 Ave,65882,32815,33067,65882,40.74177603,-74.00149746,2019,2019,1,5,6,12,7,lifetime_aggregate,1033,1567.9548283294375,1
nyc,116.0,W 17 St & 8 Ave,31843,15891,15952,31843,40.74177603,-74.00149746,2019,2019,1,2,7,8,2,lifetime_aggregate,1033,3244.0410765317342,1
nyc,119,Park Ave & St Edwards St,7085,3424,3661,7085,40.69608941,-73.97803415,2019,2019,1,7,4,12,9,lifetime_aggregate,1165,16443.18983768525,1
nyc,119.0,Park Ave & St Edwards St,3989,1889,2100,3989,40.69608941,-73.97803415,2019,2019,1,5,1,8,8,lifetime_aggregate,1165,29205.31461519178,1
nyc,120,Lexington Ave & Classon Ave,14279,7297,6982,14279,40.68676793000001,-73.95928168,2019,2019,1,7,4,12,9,lifetime_aggregate,736,5154.422578611948,1
nyc,120.0,Lexington Ave & Classon Ave,8790,4482,4308,8790,40.68676793,-73.95928168,2019,2019,1,5,1,8,8,lifetime_aggregate,736,8373.151308304892,1
nyc,1234.56,Morgan HCT Charging,2423,902,1521,2423,40.708948,-73.932777,2025,2025,1,7,6,12,7,lifetime_aggregate,561,23153.11597193562,1
nyc,127,Barrow St & Hudson St,79523,39612,39911,79523,40.73172428,-74.00674436,2019,2019,1,7,4,12,9,lifetime_aggregate,1116,1403.3675791909259,1
nyc,127.0,Barrow St & Hudson St,47161,23483,23678,47161,40.73172428,-74.00674436,2019,2019,1,5,1,8,8,lifetime_aggregate,1116,2366.3620364284047,1
nyc,128,MacDougal St & Prince St,85627,42450,43177,85627,40.72710258,-74.00297088,2019,2019,1,7,4,12,9,lifetime_aggregate,1378,1609.305476076471,1
nyc,128.0,MacDougal St & Prince St,50461,25108,25353,50461,40.72710258,-74.00297088,2019,2019,1,5,1,8,8,lifetime_aggregate,1378,2730.8218227938405,1
nyc,143,Clinton St & Joralemon St,30233,15091,15142,30233,40.69239502,-73.99337909,2019,2019,1,7,4,12,9,lifetime_aggregate,1231,4071.7097211656137,1
nyc,143.0,Clinton St & Joralemon St,19036,9539,9497,19036,40.69239502,-73.99337909,2019,2019,1,5,1,8,8,lifetime_aggregate,1231,6466.694683757092,1
nyc,144,Nassau St & Navy St,16897,8191,8706,16897,40.69839895,-73.98068914,2019,2019,1,7,4,12,9,lifetime_aggregate,1366,8084.2753151447,1
nyc,144.0,Nassau St & Navy St,7941,3876,4065,7941,40.69839895,-73.98068914,2019,2019,1,5,1,8,8,lifetime_aggregate,1366,17201.863745120263,1
nyc,146,Hudson St & Reade St,40322,20075,20247,40322,40.71625008,-74.0091059,2019,2019,1,7,4,12,9,lifetime_aggregate,1135,2814.8405337036857,1
nyc,146.0,Hudson St & Reade St,25270,12560,12710,25270,40.71625008,-74.0091059,2019,2019,1,5,1,8,8,lifetime_aggregate,1135,4491.491887613772,1
nyc,150,E 2 St & Avenue C,45104,23335,21769,45104,40.7208736,-73.98085795,2019,2019,1,7,4,12,9,lifetime_aggregate,952,2110.6775452288043,1
nyc,150.0,E 2 St & Avenue C,27683,13987,13696,27683,40.7208736,-73.98085795,2019,2019,1,5,1,8,8,lifetime_aggregate,952,3438.933641585088,1
nyc,151,Cleveland Pl & Spring St,105504,52709,52795,105504,40.722103786686034,-73.99724900722504,2019,2019,1,7,4,12,9,lifetime_aggregate,2072,1963.9065817409767,1
nyc,151.0,Cleveland Pl & Spring St,64866,32367,32499,64866,40.722103786686034,-73.99724900722504,2019,2019,1,5,1,8,8,lifetime_aggregate,2072,3194.277433478247,1
nyc,157,Henry St & Atlantic Ave,25311,12608,12703,25311,40.69089272,-73.99612349000002,2019,2019,1,7,4,12,9,lifetime_aggregate,1532,6052.704357789104,1
nyc,157.0,Henry St & Atlantic Ave,16264,8058,8206,16264,40.69089272,-73.99612349,2019,2019,1,5,1,8,8,lifetime_aggregate,1532,9419.57697983276,1
