mode,start_station_id,start_station_name,year,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,months_covered,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available,data_quality
nyc,116,W 17 St & 8 Ave,2019,65882,32815,33067,65882,40.74177603,-74.00149746,5,537,815.093652287423,1,yearly
nyc,116.0,W 17 St & 8 Ave,2019,31843,15891,15952,31843,40.74177603,-74.00149746,2,537,1686.398894576516,1,yearly
nyc,119,Park Ave & St Edwards St,2019,7085,3424,3661,7085,40.69608941,-73.97803415,7,437,6167.960479887086,1,yearly
nyc,119.0,Park Ave & St Edwards St,2019,3989,1889,2100,3989,40.69608941,-73.97803415,5,437,10955.126598144898,1,yearly
nyc,120,Lexington Ave & Classon Ave,2019,14279,7297,6982,14279,40.68676793000001,-73.95928168,7,256,1792.8426360389383,1,yearly
nyc,120.0,Lexington Ave & Classon Ave,2019,8790,4482,4308,8790,40.68676793,-73.95928168,5,256,2912.400455062571,1,yearly
nyc,127,Barrow St & Hudson St,2019,79523,39612,39911,79523,40.73172428,-74.00674436,7,528,663.9588546709757,1,yearly
nyc,127.0,Barrow St & Hudson St,2019,47161,23483,23678,47161,40.73172428,-74.00674436,5,528,1119.569135514514,1,yearly
nyc,128,MacDougal St & Prince St,2019,85627,42450,43177,85627,40.72710258,-74.00297088,7,680,794.142034638607,1,yearly
nyc,128.0,MacDougal St & Prince St,2019,50461,25108,25353,50461,40.72710258,-74.00297088,5,680,1347.575355224827,1,yearly
nyc,143,Clinton St & Joralemon St,2019,30233,15091,15142,30233,40.69239502,-73.99337909,7,548,1812.588892931565,1,yearly
nyc,143.0,Clinton St & Joralemon St,2019,19036,9539,9497,19036,40.69239502,-73.99337909,5,548,2878.756041185123,1,yearly
nyc,144,Nassau St & Navy St,2019,16897,8191,8706,16897,40.69839895,-73.98068914,7,602,3562.762620583536,1,yearly
nyc,144.0,Nassau St & Navy St,2019,7941,3876,4065,7941,40.69839895,-73.98068914,5,602,7580.909205389749,1,yearly
nyc,146,Hudson St & Reade St,2019,40322,20075,20247,40322,40.71625008,-74.0091059,7,554,1373.9397847329,1,yearly
nyc,146.0,Hudson St & Reade St,2019,25270,12560,12710,25270,40.71625008,-74.0091059,5,554,2192.322912544519,1,yearly
nyc,150,E 2 St & Avenue C,2019,45104,23335,21769,45104,40.7208736,-73.98085795,7,355,787.0698829372119,1,yearly
nyc,150.0,E 2 St & Avenue C,2019,27683,13987,13696,27683,40.7208736,-73.98085795,5,355,1282.3754650868764,1,yearly
nyc,151,Cleveland Pl & Spring St,2019,105504,52709,52795,105504,40.722103786686034,-73.99724900722504,7,1013,960.1531695480741,1,yearly
nyc,151.0,Cleveland Pl & Spring St,2019,64866,32367,32499,64866,40.722103786686034,-73.99724900722504,5,1013,1561.6810039157647,1,yearly
nyc,157,Henry St & Atlantic Ave,2019,25311,12608,12703,25311,40.69089272,-73.99612349000002,7,652,2575.9551183279996,1,yearly
nyc,157.0,Henry St & Atlantic Ave,2019,16264,8058,8206,16264,40.69089272,-73.99612349,5,652,4008.8539104771276,1,yearly
nyc,161,LaGuardia Pl & W 3 St,2019,73714,36335,37379,73714,40.72917025,-73.99810231,7,500,678.2972027023361,1,yearly
nyc,161.0,LaGuardia Pl & W 3 St,2019,40177,19952,20225,40177,40.72917025,-73.99810231,5,500,1244.4931179530577,1,yearly
nyc,164,E 47 St & 2 Ave,2019,46977,23530,23447,46977,40.75323098,-73.97032517,7,830,1766.8220618600592,1,yearly
nyc,164.0,E 47 St & 2 Ave,2019,28858,14370,14488,28858,40.75323098,-73.97032517,5,830,2876.152193499203,1,yearly
nyc,167,E 39 St & 3 Ave,2019,65175,32693,32482,65175,40.74890060534538,-73.9760488711511,7,1236,1896.432681242808,1,yearly
nyc,167.0,E 39 St & 3 Ave,2019,39101,19596,19505,39101,40.7489006,-73.97604882,5,1236,3161.0444745658683,1,yearly
nyc,168,W 18 St & 6 Ave,2019,99656,49557,50099,99656,40.73971301,-73.99456405,7,789,791.7235289395521,1,yearly
nyc,168.0,W 18 St & 6 Ave,2019,60952,30308,30644,60952,40.73971301,-73.99456405,5,789,1294.4612153825963,1,yearly
nyc,173,Broadway & W 49 St,2019,85349,43218,42131,85349,40.76068327096592,-73.9845272898674,7,1080,1265.3926818123234,1,yearly
nyc,173.0,Broadway & W 49 St,2019,53801,26979,26822,53801,40.76068327096592,-73.9845272898674,5,1080,2007.397632014275,1,yearly
nyc,174,E 25 St & 1 Ave,2019,51808,26082,25726,51808,40.7381765,-73.97738661999999,7,564,1088.6349598517604,1,yearly
nyc,174.0,E 25 St & 1 Ave,2019,30528,15257,15271,30528,40.7381765,-73.97738662,5,564,1847.4842767295597,1,yearly
nyc,195,Liberty St & Broadway,2019,58773,29403,29370,58773,40.70905623,-74.01043382,7,592,1007.2652408418832,1,yearly
nyc,195.0,Liberty St & Broadway,2019,35199,17588,17611,35199,40.70905623,-74.01043382,5,592,1681.865962101196,1,yearly
nyc,2000,Front St & Washington St,2019,43323,21410,21913,43323,40.70255088,-73.98940236,7,468,1080.2575998892044,1,yearly
nyc,2000.0,Front St & Washington St,2019,29147,14347,14800,29147,40.70255088,-73.98940236,5,468,1605.6540981919238,1,yearly
nyc,2002,Wythe Ave & Metropolitan Ave,2019,48550,24021,24529,48550,40.716887,-73.963198,7,286,589.0834191555098,1,yearly
nyc,2002.0,Wythe Ave & Metropolitan Ave,2019,30318,14993,15325,30318,40.716887,-73.963198,5,286,943.3339930074542,1,yearly
nyc,2003,1 Ave & E 18 St,2019,74866,38138,36728,74866,40.73381219196632,-73.98054420948029,7,466,622.4454358453771,1,yearly
nyc,2003.0,1 Ave & E 18 St,2019,46281,23227,23054,46281,40.73381219196632,-73.98054420948029,5,466,1006.8926773405933,1,yearly
nyc,2005,Railroad Ave & Kay Ave,2019,1391,654,737,1391,40.70531194,-73.97100056,7,45,3235.082674335011,1,yearly
nyc,2005.0,Railroad Ave & Kay Ave,2019,825,400,425,825,40.70531194,-73.97100056,5,45,5454.545454545454,1,yearly
nyc,2006,Central Park S & 6 Ave,2019,94249,47665,46584,94249,40.76590941909567,-73.97634154567989,7,626,664.1980286262984,1,yearly
nyc,2006.0,Central Park S & 6 Ave,2019,55313,27922,27391,55313,40.76590936,-73.97634151,5,626,1131.7411820006148,1,yearly
nyc,2008,Little West St & 1 Pl,2019,70017,34846,35171,70017,40.70569254000001,-74.01677685,7,317,452.7471899681506,1,yearly
nyc,2008.0,Little West St & 1 Pl,2019,38963,19438,19525,38963,40.70569254,-74.01677685,5,317,813.5923825167467,1,yearly
nyc,2009,Catherine St & Monroe St,2019,29801,14852,14949,29801,40.71117444,-73.99682619,7,403,1352.3036139726855,1,yearly
nyc,2009.0,Catherine St & Monroe St,2019,20919,10274,10645,20919,40.71117444,-73.99682619,5,403,1926.4783211434583,1,yearly
nyc,2010.0,Grand St & Greene St,2019,8629,4285,4344,8629,40.72165481,-74.00234737,3,1025,11878.549078688144,1,yearly
nyc,2012,E 27 St & 1 Ave,2019,52068,26929,25139,52068,40.739445,-73.976806,7,599,1150.4186832603518,1,yearly
nyc,2012.0,E 27 St & 1 Ave,2019,33106,17100,16006,33106,40.739445,-73.976806,5,599,1809.3396967317103,1,yearly
nyc,2017,E 43 St & 2 Ave,2019,31571,16123,15448,31571,40.75022392,-73.97121414,7,799,2530.803585569035,1,yearly
nyc,2017.0,E 43 St & 2 Ave,2019,13292,6742,6550,13292,40.75022392,-73.97121414,4,799,6011.134517002709,1,yearly
nyc,2021,W 45 St & 8 Ave,2019,66510,33394,33116,66510,40.75929124,-73.98859651,7,1329,1998.195760036085,1,yearly
nyc,2021.0,W 45 St & 8 Ave,2019,38201,19160,19041,38201,40.75929124,-73.98859651,5,1329,3478.9665192010684,1,yearly
nyc,2022,E 60 St & York Ave,2019,15866,7916,7950,15866,40.75910700000001,-73.959223,7,888,5596.873818227657,1,yearly
nyc,2022.0,E 60 St & York Ave,2019,9405,4721,4684,9405,40.759107,-73.959223,5,888,9441.786283891546,1,yearly
nyc,2023,E 55 St & Lexington Ave,2019,16819,8382,8437,16819,40.75968085,-73.97031366,3,1187,7057.494500267554,1,yearly
nyc,2023.0,E 55 St & Lexington Ave,2019,12903,6393,6510,12903,40.75968085,-73.97031366,4,1187,9199.41098969232,1,yearly
nyc,212,W 16 St & The High Line,2019,70383,34700,35683,70383,40.74334933824054,-74.00681753614212,7,421,598.1558046687411,1,yearly
nyc,212.0,W 16 St & The High Line,2019,41111,20282,20829,41111,40.74334935,-74.00681753,5,421,1024.056821775194,1,yearly
nyc,216,Columbia Heights & Cranberry St,2019,11000,5673,5327,11000,40.70037867,-73.99548059000001,7,297,2700.0,1,yearly
nyc,216.0,Columbia Heights & Cranberry St,2019,6478,3320,3158,6478,40.70037867,-73.99548059,5,297,4584.748379129361,1,yearly
nyc,217,Old Fulton St,2019,49540,23155,26385,49540,40.70277159,-73.99383605,7,355,716.5926524020992,1,yearly
nyc,217.0,Old Fulton St,2019,28266,13218,15048,28266,40.70277159,-73.99383605,5,355,1255.9258473077196,1,yearly
nyc,223,W 13 St & 7 Ave,2019,74940,37295,37645,74940,40.73781508999999,-73.99994660999998,7,499,665.8660261542567,1,yearly
nyc,223.0,W 13 St & 7 Ave,2019,42461,21181,21280,42461,40.73781509,-73.99994661,5,499,1175.1960622689055,1,yearly
nyc,224,Spruce St & Nassau St,2019,34646,17349,17297,34646,40.71146364,-74.00552427,7,604,1743.3469953241354,1,yearly
nyc,224.0,Spruce St & Nassau St,2019,16528,8286,8242,16528,40.71146364,-74.00552427,5,604,3654.404646660213,1,yearly
nyc,228,E 48 St & 3 Ave,2019,35983,18174,17809,35983,40.7546011026,-73.971878855,7,952,2645.693799849929,1,yearly
nyc,228.0,E 48 St & 3 Ave,2019,22878,11606,11272,22878,40.7546011026,-73.971878855,5,952,4161.202902351604,1,yearly
nyc,229,Great Jones St,2019,97249,47444,49805,97249,40.72743423000001,-73.99379025,7,616,633.4255365093728,1,yearly
nyc,229.0,Great Jones St,2019,59275,29079,30196,59275,40.72743423,-73.99379025,5,616,1039.2239561366512,1,yearly
nyc,232.0,Cadman Plaza E & Tillary St,2019,1,0,1,1,40.69597683,-73.99014892,1,664,66400000.0,1,yearly
nyc,236,St Marks Pl & 2 Ave,2019,72000,35740,36260,72000,40.7284186,-73.98713955999999,7,505,701.3888888888889,1,yearly
nyc,236.0,St Marks Pl & 2 Ave,2019,45452,22306,23146,45452,40.7284186,-73.98713956,5,505,1111.062219484291,1,yearly
nyc,237,E 11 St & 2 Ave,2019,71172,35249,35923,71172,40.73047309,-73.98672378,7,583,819.1423593548025,1,yearly
nyc,237.0,E 11 St & 2 Ave,2019,43052,21439,21613,43052,40.73047309,-73.98672378,5,583,1354.176344885255,1,yearly
nyc,238,Bank St & Washington St,2019,46264,23120,23144,46264,40.7361967,-74.00859207,7,271,585.7686321978213,1,yearly
nyc,238.0,Bank St & Washington St,2019,26899,13390,13509,26899,40.7361967,-74.00859207,5,271,1007.4723967433732,1,yearly
nyc,239,Willoughby St & Fleet St,2019,32445,16699,15746,32445,40.69196566,-73.9813018,7,653,2012.6367699183236,1,yearly
nyc,239.0,Willoughby St & Fleet St,2019,21551,11030,10521,21551,40.69196566000001,-73.9813018,5,653,3030.0218087327735,1,yearly
nyc,241,DeKalb Ave & S Portland Ave,2019,21332,10778,10554,21332,40.68981035,-73.97493121,7,350,1640.727545471592,1,yearly
nyc,241.0,DeKalb Ave & S Portland Ave,2019,12743,6486,6257,12743,40.68981035,-73.97493121,5,350,2746.6059797535904,1,yearly
nyc,242,Carlton Ave & Flushing Ave,2019,16400,7823,8577,16400,40.697787,-73.973736,7,229,1396.341463414634,1,yearly
nyc,242.0,Carlton Ave & Flushing Ave,2019,9167,4388,4779,9167,40.697787,-73.973736,5,229,2498.0909785098725,1,yearly
nyc,243,Fulton St & Rockwell Pl,2019,17151,8176,8975,17151,40.688383714285706,-73.97944714285714,7,724,4221.328202437176,1,yearly
nyc,243.0,Fulton St & Rockwell Pl,2019,10615,4964,5651,10615,40.6882996,-73.9794124,5,725,6829.95760715968,1,yearly
nyc,244,Willoughby Ave & Hall St,2019,20653,10672,9981,20653,40.69196035,-73.96536851,7,303,1467.0992107684115,1,yearly
nyc,244.0,Willoughby Ave & Hall St,2019,13938,7241,6697,13938,40.69196035,-73.96536851,5,303,2173.913043478261,1,yearly
nyc,245,Myrtle Ave & St Edwards St,2019,11622,5914,5708,11622,40.69327018,-73.97703874,7,397,3415.9352951299256,1,yearly
nyc,245.0,Myrtle Ave & St Edwards St,2019,7295,3729,3566,7295,40.69327018,-73.97703874,5,397,5442.083618917067,1,yearly
nyc,247,Perry St & Bleecker St,2019,45922,22894,23028,45922,40.73535398,-74.00483091,7,461,1003.8761377988764,1,yearly
nyc,247.0,Perry St & Bleecker St,2019,27258,13630,13628,27258,40.73535398,-74.00483091,5,461,1691.2466065008437,1,yearly
nyc,248,Laight St & Hudson St,2019,15163,7551,7612,15163,40.72185379,-74.00771779,7,751,4952.845742926861,1,yearly
nyc,248.0,Laight St & Hudson St,2019,9158,4546,4612,9158,40.72185379,-74.00771779,5,751,8200.480454247652,1,yearly
nyc,249,Harrison St & Hudson St,2019,23975,12003,11972,23975,40.71870987,-74.0090009,7,616,2569.3430656934306,1,yearly
nyc,249.0,Harrison St & Hudson St,2019,13942,6956,6986,13942,40.71870987,-74.0090009,5,616,4418.30440395926,1,yearly
nyc,250,Lafayette St & Jersey St,2019,42714,21395,21319,42714,40.72456089,-73.99565293,4,856,2004.0267827878447,1,yearly
nyc,250.0,Lafayette St & Jersey St,2019,4903,2503,2400,4903,40.72456089,-73.99565293,1,856,17458.69875586376,1,yearly
nyc,251,Mott St & Prince St,2019,68286,34016,34270,68286,40.723179432474126,-73.99480014499828,7,929,1360.4545587675366,1,yearly
nyc,251.0,Mott St & Prince St,2019,42145,20996,21149,42145,40.72317958,-73.99480012,5,929,2204.2946968798196,1,yearly
nyc,252,MacDougal St & Washington Sq,2019,54899,27135,27764,54899,40.732263980000006,-73.99852205,7,447,814.2224812838122,1,yearly
nyc,252.0,MacDougal St & Washington Sq,2019,30719,15296,15423,30719,40.73226398,-73.99852205,5,447,1455.125492366288,1,yearly
nyc,254,W 11 St & 6 Ave,2019,62055,31074,30981,62055,40.73532427,-73.99800419,7,525,846.0236886632825,1,yearly
nyc,254.0,W 11 St & 6 Ave,2019,35476,17801,17675,35476,40.73532427,-73.99800419,5,525,1479.8737174427781,1,yearly
nyc,257,Lispenard St & Broadway,2019,61571,30585,30986,61571,40.71939226,-74.00247214,7,1047,1700.4758733819492,1,yearly
nyc,257.0,Lispenard St & Broadway,2019,36134,17965,18169,36134,40.71939226,-74.00247214,5,1047,2897.5480157192674,1,yearly
nyc,258,DeKalb Ave & Vanderbilt Ave,2019,21202,11011,10191,21202,40.68940747,-73.96885458,7,262,1235.7324780681067,1,yearly
nyc,258.0,DeKalb Ave & Vanderbilt Ave,2019,13471,7156,6315,13471,40.68940747,-73.96885458,5,262,1944.9187142751096,1,yearly
nyc,259,South St & Whitehall St,2019,37689,18405,19284,37689,40.70122127999999,-74.01234218,7,218,578.4181060786967,1,yearly
nyc,259.0,South St & Whitehall St,2019,24161,11684,12477,24161,40.70122128,-74.01234218,5,218,902.2805347460784,1,yearly
nyc,260,Broad St & Bridge St,2019,19995,9607,10388,19995,40.70365182,-74.01167797000001,7,422,2110.5276319079767,1,yearly
nyc,260.0,Broad St & Bridge St,2019,11978,5701,6277,11978,40.70365181999999,-74.01167797,5,422,3523.125730505928,1,yearly
nyc,261,Johnson St & Gold St,2019,18513,9212,9301,18513,40.69474881,-73.98362464,7,868,4688.597201966186,1,yearly
nyc,261.0,Johnson St & Gold St,2019,11561,5746,5815,11561,40.69474881,-73.98362464,5,868,7508.001037972494,1,yearly
nyc,262,Washington Park,2019,16338,8379,7959,16338,40.6917823,-73.9737299,7,265,1621.9855551475089,1,yearly
nyc,262.0,Washington Park,2019,10496,5459,5037,10496,40.6917823,-73.9737299,5,265,2524.771341463415,1,yearly
nyc,264,Maiden Ln & Pearl St,2019,30416,15001,15415,30416,40.70706456,-74.00731853,7,502,1650.4471330878484,1,yearly
nyc,264.0,Maiden Ln & Pearl St,2019,19278,9451,9827,19278,40.70706456,-74.00731853,5,502,2604.0045647888787,1,yearly
nyc,265,Stanton St & Chrystie St,2019,59983,29394,30589,59983,40.72229346,-73.99147535,7,1167,1945.5512395178635,1,yearly
nyc,265.0,Stanton St & Chrystie St,2019,36896,18152,18744,36896,40.72229346,-73.99147535,5,1167,3162.9444926279266,1,yearly
nyc,266,Avenue D & E 8 St,2019,29735,15531,14204,29735,40.72368361,-73.97574812999999,7,212,712.9645199260132,1,yearly
nyc,266.0,Avenue D & E 8 St,2019,18614,9805,8809,18614,40.72368361,-73.97574813,5,212,1138.9276888363597,1,yearly
nyc,267,Broadway & W 36 St,2019,32372,16458,15914,32372,40.750977211296295,-73.98765441326599,6,983,3036.574817743729,1,yearly
nyc,267.0,Broadway & W 36 St,2019,28151,14173,13978,28151,40.75097711,-73.98765428,5,983,3491.883059216369,1,yearly
nyc,268,Howard St & Centre St,2019,58686,29208,29478,58686,40.71910537,-73.99973337000002,7,1209,2060.116552499744,1,yearly
nyc,268.0,Howard St & Centre St,2019,35591,17758,17833,35591,40.71910537,-73.99973337,5,1209,3396.9261892051363,1,yearly
nyc,270,Adelphi St & Myrtle Ave,2019,22342,11268,11074,22342,40.69308257,-73.97178913,7,307,1374.0936353057023,1,yearly
nyc,270.0,Adelphi St & Myrtle Ave,2019,16447,8336,8111,16447,40.69308257,-73.97178913,5,307,1866.601811880586,1,yearly
nyc,274,Lafayette Ave & Fort Greene Pl,2019,26803,13263,13540,26803,40.68691865,-73.976682,7,705,2630.3025780696194,1,yearly
nyc,274.0,Lafayette Ave & Fort Greene Pl,2019,15360,7441,7919,15360,40.68691865,-73.976682,5,705,4589.84375,1,yearly
nyc,275,Washington Ave & Greene Ave,2019,13966,7111,6855,13966,40.686500650000006,-73.96563307,7,314,2248.317342116569,1,yearly
nyc,275.0,Washington Ave & Greene Ave,2019,8867,4492,4375,8867,40.68650065,-73.96563307,5,314,3541.2202548776363,1,yearly
nyc,276,Duane St & Greenwich St,2019,27724,13814,13910,27724,40.71748752,-74.0104554,7,474,1709.7099985572065,1,yearly
nyc,276.0,Duane St & Greenwich St,2019,15851,7909,7942,15851,40.71748752,-74.0104554,5,474,2990.3476121380354,1,yearly
nyc,278,Concord St & Bridge St,2019,12602,6319,6283,12602,40.697665640000004,-73.98476437,7,909,7213.140771306143,1,yearly
nyc,278.0,Concord St & Bridge St,2019,7092,3570,3522,7092,40.69766564,-73.98476437,5,909,12817.25888324873,1,yearly
nyc,279,Peck Slip & Front St,2019,47289,22737,24552,47289,40.707873,-74.00167,7,326,689.3780794687982,1,yearly
nyc,279.0,Peck Slip & Front St,2019,28264,13991,14273,28264,40.707873,-74.00167,5,326,1153.4106991225588,1,yearly
nyc,280,E 10 St & 5 Ave,2019,52430,26108,26322,52430,40.73331967,-73.99510132,7,539,1028.03738317757,1,yearly
